pl_hostname,ra,dec
Kepler-198,290.673126,38.691010
Kepler-278,290.107178,38.702236
Kepler-278,290.107178,38.702236
Kepler-146,294.110748,38.710228
Kepler-146,294.110748,38.710228
Kepler-21,287.361816,38.714016
Kepler-377,295.421997,38.735691
Kepler-377,295.421997,38.735691
Kepler-135,290.495117,38.795479
Kepler-135,290.495117,38.795479
Kepler-157,291.097229,38.875610
Kepler-157,291.097229,38.875610
Kepler-379,295.701111,38.945831
Kepler-379,295.701111,38.945831
Kepler-30,285.283630,38.947281
Kepler-30,285.283630,38.947281
Kepler-30,285.283630,38.947281
HD 45350,97.190460,38.962963
Kepler-317,294.943878,39.032063
Kepler-317,294.943878,39.032063
Kepler-276,293.568146,39.036327
Kepler-276,293.568146,39.036327
Kepler-276,293.568146,39.036327
Kepler-277,286.583160,39.077209
Kepler-277,286.583160,39.077209
Kepler-147,287.975769,39.087181
Kepler-147,287.975769,39.087181
XO-5,116.716530,39.094578
Kepler-58,296.358643,39.115192
Kepler-58,296.358643,39.115192
Kepler-58,296.358643,39.115192
Kepler-416,291.556976,39.227287
Kepler-416,291.556976,39.227287
14 And,352.822571,39.236198
Kepler-235,286.079102,39.278313
Kepler-235,286.079102,39.278313
Kepler-235,286.079102,39.278313
Kepler-235,286.079102,39.278313
Kepler-442,285.366577,39.280083
Kepler-331,291.834320,39.307358
Kepler-331,291.834320,39.307358
Kepler-331,291.834320,39.307358
Kepler-183,293.530853,39.315899
Kepler-183,293.530853,39.315899
Kepler-120,287.891632,39.339123
Kepler-120,287.891632,39.339123
KELT-1,0.362142,39.383808
HAT-P-15,66.248024,39.460636
Kepler-25,286.638397,39.487892
Kepler-25,286.638397,39.487892
Kepler-25,286.638397,39.487892
Kepler-288,288.916412,39.594715
Kepler-288,288.916412,39.594715
Kepler-288,288.916412,39.594715
Kepler-76,294.192108,39.619003
Kepler-121,286.162079,39.677994
Kepler-121,286.162079,39.677994
Kepler-350,285.419617,39.706108
Kepler-350,285.419617,39.706108
Kepler-350,285.419617,39.706108
Kepler-319,288.811951,39.770657
Kepler-319,288.811951,39.770657
Kepler-319,288.811951,39.770657
Kepler-158,284.032257,39.781349
Kepler-158,284.032257,39.781349
Kepler-168,294.710175,39.825104
Kepler-168,294.710175,39.825104
Kepler-236,283.866364,39.898090
Kepler-236,283.866364,39.898090
Kepler-122,291.111877,39.949104
Kepler-122,291.111877,39.949104
Kepler-122,291.111877,39.949104
Kepler-122,291.111877,39.949104
Kepler-122,291.111877,39.949104
PH1,298.215118,39.955105
Kepler-80,296.112579,39.978779
Kepler-80,296.112579,39.978779
Kepler-80,296.112579,39.978779
Kepler-80,296.112579,39.978779
Kepler-328,295.809296,40.008503
Kepler-328,295.809296,40.008503
Kepler-103,288.984558,40.064522
Kepler-103,288.984558,40.064522
Kepler-199,295.559418,40.236271
Kepler-199,295.559418,40.236271
Kepler-130,288.450653,40.245304
Kepler-130,288.450653,40.245304
Kepler-130,288.450653,40.245304
Kepler-109,290.392731,40.284874
Kepler-109,290.392731,40.284874
Kepler-340,295.933472,40.300571
Kepler-340,295.933472,40.300571
Kepler-305,299.224304,40.343182
Kepler-305,299.224304,40.343182
Kepler-305,299.224304,40.343182
Kepler-398,291.468658,40.343853
Kepler-398,291.468658,40.343853
KELT-3,148.643326,40.388069
Kepler-307,297.795135,40.417702
Kepler-307,297.795135,40.417702
Kepler-237,283.221375,40.421833
Kepler-237,283.221375,40.421833
47 UMa,164.866562,40.430256
47 UMa,164.866562,40.430256
47 UMa,164.866562,40.430256
Kepler-308,295.785156,40.439548
Kepler-308,295.785156,40.439548
Kepler-400,290.944489,40.480034
Kepler-400,290.944489,40.480034
Kepler-84,298.252045,40.496075
Kepler-84,298.252045,40.496075
Kepler-84,298.252045,40.496075
Kepler-84,298.252045,40.496075
Kepler-84,298.252045,40.496075
Kepler-150,288.234070,40.520905
Kepler-150,288.234070,40.520905
Kepler-150,288.234070,40.520905
Kepler-150,288.234070,40.520905
Kepler-96,297.069641,40.525143
HD 23596,57.001556,40.530636
Kepler-348,297.255035,40.548374
Kepler-348,297.255035,40.548374
Kepler-304,294.441772,40.557587
Kepler-304,294.441772,40.557587
Kepler-304,294.441772,40.557587
Kepler-53,290.461761,40.562462
Kepler-53,290.461761,40.562462
Kepler-53,290.461761,40.562462
Kepler-425,290.358002,40.567738
Kepler-428,290.581726,40.577400
Kepler-49,292.294586,40.591801
Kepler-49,292.294586,40.591801
Kepler-49,292.294586,40.591801
Kepler-49,292.294586,40.591801
Kepler-306,288.538666,40.616138
Kepler-306,288.538666,40.616138
Kepler-306,288.538666,40.616138
Kepler-306,288.538666,40.616138
Kepler-238,287.897125,40.637814
Kepler-238,287.897125,40.637814
Kepler-238,287.897125,40.637814
Kepler-238,287.897125,40.637814
Kepler-238,287.897125,40.637814
Kepler-239,294.202148,40.663406
Kepler-239,294.202148,40.663406
KOI-142,291.148102,40.669407
KOI-142,291.148102,40.669407
Kepler-399,299.501740,40.670807
Kepler-399,299.501740,40.670807
Kepler-399,299.501740,40.670807
Kepler-240,291.158783,40.750263
Kepler-240,291.158783,40.750263
Kepler-338,282.978943,40.784348
Kepler-338,282.978943,40.784348
Kepler-338,282.978943,40.784348
Kepler-338,282.978943,40.784348
HD 49674,102.877151,40.867756
Kepler-159,297.070160,40.868786
Kepler-159,297.070160,40.868786
Kepler-333,292.286072,40.913586
Kepler-333,292.286072,40.913586
Kepler-370,292.171112,40.916306
Kepler-370,292.171112,40.916306
Kepler-169,285.999878,40.919331
Kepler-169,285.999878,40.919331
Kepler-169,285.999878,40.919331
Kepler-169,285.999878,40.919331
Kepler-169,285.999878,40.919331
Kepler-131,288.530823,40.942303
Kepler-131,288.530823,40.942303
Kepler-48,299.139221,40.949020
Kepler-48,299.139221,40.949020
Kepler-48,299.139221,40.949020
Kepler-48,299.139221,40.949020
Kepler-433,297.593658,40.977268
KOI-12,297.453735,41.010990
Kepler-151,292.162781,41.023235
Kepler-151,292.162781,41.023235
HAT-P-21,171.274948,41.027954
HAT-P-2,245.151489,41.048084
Kepler-241,292.913116,41.060921
Kepler-241,292.913116,41.060921
Kepler-45,292.872894,41.064262
Kepler-27,292.236755,41.085876
Kepler-27,292.236755,41.085876
Kepler-7,288.581512,41.089798
HD 43691,94.894485,41.092304
KOI-55,296.356110,41.092754
KOI-55,296.356110,41.092754
Kepler-65,288.688690,41.151173
Kepler-65,288.688690,41.151173
Kepler-65,288.688690,41.151173
Kepler-390,291.628784,41.208603
Kepler-390,291.628784,41.208603
HD 89744,155.544006,41.229530
Kepler-200,284.409912,41.237465
Kepler-200,284.409912,41.237465
Kepler-265,290.510468,41.244820
Kepler-265,290.510468,41.244820
Kepler-265,290.510468,41.244820
Kepler-265,290.510468,41.244820
Kepler-201,293.626038,41.272827
Kepler-201,293.626038,41.272827
Kepler-99,297.354004,41.300049
Kepler-363,283.192078,41.305393
Kepler-363,283.192078,41.305393
Kepler-363,283.192078,41.305393
Kepler-202,282.973419,41.322006
Kepler-202,282.973419,41.322006
Kepler-336,290.237640,41.331371
Kepler-336,290.237640,41.331371
Kepler-336,290.237640,41.331371
Kepler-354,285.751465,41.335640
Kepler-354,285.751465,41.335640
Kepler-354,285.751465,41.335640
Kepler-132,283.235809,41.343037
Kepler-132,283.235809,41.343037
Kepler-132,283.235809,41.343037
Kepler-74,293.092529,41.355522
Kepler-203,297.089966,41.388039
Kepler-203,297.089966,41.388039
Kepler-203,297.089966,41.388039
ups And,24.199345,41.405460
ups And,24.199345,41.405460
ups And,24.199345,41.405460
ups And,24.199345,41.405460
Kepler-118,299.213165,41.424824
Kepler-118,299.213165,41.424824
Kepler-440,285.349945,41.452206
Kepler-92,289.086060,41.562943
Kepler-92,289.086060,41.562943
Kepler-92,289.086060,41.562943
Kepler-170,284.521179,41.629604
Kepler-170,284.521179,41.629604
Kepler-444,289.752289,41.634605
Kepler-444,289.752289,41.634605
Kepler-444,289.752289,41.634605
Kepler-444,289.752289,41.634605
Kepler-444,289.752289,41.634605
HD 136418,229.775757,41.733208
Kepler-171,296.771912,41.755539
Kepler-171,296.771912,41.755539
Kepler-171,296.771912,41.755539
Kepler-353,296.856628,41.758179
Kepler-353,296.856628,41.758179
Kepler-204,285.347198,41.761925
Kepler-204,285.347198,41.761925
Kepler-269,290.215179,41.775967
Kepler-269,290.215179,41.775967
Kepler-242,286.565704,41.808403
Kepler-242,286.565704,41.808403
Kepler-172,283.368408,41.821857
Kepler-172,283.368408,41.821857
Kepler-172,283.368408,41.821857
Kepler-172,283.368408,41.821857
Kepler-206,291.634674,41.833866
Kepler-206,291.634674,41.833866
Kepler-206,291.634674,41.833866
Kepler-205,285.287109,41.861172
Kepler-205,285.287109,41.861172
Kepler-56,293.758362,41.871868
Kepler-56,293.758362,41.871868
Kepler-173,294.646698,41.884106
Kepler-173,294.646698,41.884106
KOI-94,297.333069,41.891117
KOI-94,297.333069,41.891117
KOI-94,297.333069,41.891117
KOI-94,297.333069,41.891117
Kepler-449,293.732819,41.900829
Kepler-449,293.732819,41.900829
Kepler-11,297.115112,41.909138
Kepler-11,297.115112,41.909138
Kepler-11,297.115112,41.909138
Kepler-11,297.115112,41.909138
Kepler-11,297.115112,41.909138
Kepler-11,297.115112,41.909138
Kepler-438,281.645813,41.951092
Kepler-152,286.865479,41.989086
Kepler-152,286.865479,41.989086
Kepler-100,291.385986,41.990273
Kepler-100,291.385986,41.990273
Kepler-100,291.385986,41.990273
Kepler-243,285.110474,42.033958
Kepler-243,285.110474,42.033958
HD 16175,39.257961,42.062634
Kepler-314,294.674103,42.075588
Kepler-314,294.674103,42.075588
Kepler-196,284.968506,42.079205
Kepler-196,284.968506,42.079205
Kepler-207,290.030518,42.166050
Kepler-207,290.030518,42.166050
Kepler-207,290.030518,42.166050
Kepler-104,287.604614,42.166779
Kepler-104,287.604614,42.166779
Kepler-104,287.604614,42.166779
Kepler-280,291.390503,42.180588
Kepler-280,291.390503,42.180588
Kepler-279,287.391235,42.194836
Kepler-279,287.391235,42.194836
Kepler-279,287.391235,42.194836
Kepler-359,293.293640,42.196354
Kepler-359,293.293640,42.196354
Kepler-359,293.293640,42.196354
HD 197037,309.887329,42.248550
Kepler-60,288.961243,42.265011
Kepler-60,288.961243,42.265011
Kepler-60,288.961243,42.265011
Kepler-38,286.830353,42.279205
Kepler-244,287.242676,42.301369
Kepler-244,287.242676,42.301369
Kepler-244,287.242676,42.301369
Kepler-20,287.697998,42.338726
Kepler-20,287.697998,42.338726
Kepler-20,287.697998,42.338726
Kepler-20,287.697998,42.338726
Kepler-20,287.697998,42.338726
Kepler-374,294.137939,42.370502
Kepler-374,294.137939,42.370502
Kepler-374,294.137939,42.370502
Kepler-397,295.894104,42.380451
Kepler-397,295.894104,42.380451
Kepler-293,286.358063,42.406509
Kepler-293,286.358063,42.406509
Kepler-292,295.766144,42.424286
Kepler-292,295.766144,42.424286
Kepler-292,295.766144,42.424286
Kepler-292,295.766144,42.424286
Kepler-292,295.766144,42.424286
Kepler-28,292.137024,42.429420
Kepler-28,292.137024,42.429420
Kepler-343,291.960693,42.433006
Kepler-343,291.960693,42.433006
Kepler-245,291.638977,42.436317
Kepler-245,291.638977,42.436317
Kepler-245,291.638977,42.436317
Kepler-291,287.916351,42.437302
Kepler-291,287.916351,42.437302
Kepler-8,281.288116,42.451080
Kepler-312,298.395782,42.459755
Kepler-312,298.395782,42.459755
HAT-P-16,9.573181,42.463078
HAT-P-6,354.774231,42.465973
Kepler-61,295.304504,42.475288
Kepler-208,293.890198,42.528008
Kepler-208,293.890198,42.528008
Kepler-208,293.890198,42.528008
Kepler-208,293.890198,42.528008
Kepler-136,296.467316,42.598770
Kepler-136,296.467316,42.598770
Kepler-46,289.268738,42.604176
Kepler-46,289.268738,42.604176
Kepler-46,289.268738,42.604176
Kepler-209,291.169525,42.640812
Kepler-209,291.169525,42.640812
Kepler-351,286.452698,42.657879
Kepler-351,286.452698,42.657879
Kepler-119,295.946411,42.658924
Kepler-119,295.946411,42.658924
Kepler-246,296.483429,42.663429
Kepler-246,296.483429,42.663429
Kepler-290,286.409973,42.681553
Kepler-290,286.409973,42.681553
HIP 57050,175.435974,42.751972
Kepler-144,281.915680,42.775513
Kepler-144,281.915680,42.775513
Kepler-417,293.824310,42.779705
Kepler-417,293.824310,42.779705
Kepler-123,296.998627,42.781956
Kepler-123,296.998627,42.781956
Kepler-355,285.799469,42.811783
Kepler-355,285.799469,42.811783
Kepler-81,293.636963,42.824970
Kepler-81,293.636963,42.824970
Kepler-81,293.636963,42.824970
Kepler-160,287.773590,42.869286
Kepler-160,287.773590,42.869286
Kepler-289,297.465332,42.882851
Kepler-289,297.465332,42.882851
Kepler-289,297.465332,42.882851
Kepler-434,293.586395,42.928913
Kepler-82,292.873383,42.966137
Kepler-82,292.873383,42.966137
Kepler-82,292.873383,42.966137
Kepler-82,292.873383,42.966137
Kepler-137,282.135529,43.039101
Kepler-137,282.135529,43.039101
Kepler-247,288.642517,43.039291
Kepler-247,288.642517,43.039291
Kepler-247,288.642517,43.039291
Kepler-54,294.773926,43.056293
Kepler-54,294.773926,43.056293
Kepler-54,294.773926,43.056293
Kepler-184,291.951904,43.074715
Kepler-184,291.951904,43.074715
Kepler-184,291.951904,43.074715
Kepler-210,292.503387,43.083149
Kepler-210,292.503387,43.083149
Kepler-161,290.516479,43.083824
Kepler-161,290.516479,43.083824
Kepler-212,287.620819,43.141678
Kepler-212,287.620819,43.141678
Kepler-211,285.439148,43.168484
Kepler-211,285.439148,43.168484
Kepler-435,292.287323,43.197281
Kepler-112,296.981018,43.209751
Kepler-112,296.981018,43.209751
Kepler-431,281.112335,43.227791
Kepler-431,281.112335,43.227791
Kepler-431,281.112335,43.227791
Kepler-138,290.381561,43.292973
Kepler-138,290.381561,43.292973
Kepler-138,290.381561,43.292973
Kepler-402,288.370239,43.354610
Kepler-402,288.370239,43.354610
Kepler-402,288.370239,43.354610
Kepler-402,288.370239,43.354610
Kepler-315,298.023102,43.363522
Kepler-315,298.023102,43.363522
Kepler-392,288.660767,43.368084
Kepler-392,288.660767,43.368084
Kepler-341,289.861572,43.472775
Kepler-341,289.861572,43.472775
Kepler-341,289.861572,43.472775
Kepler-341,289.861572,43.472775
HAT-P-12,209.389496,43.493534
Kepler-116,294.742065,43.536835
Kepler-116,294.742065,43.536835
Kepler-248,293.061371,43.581356
Kepler-248,293.061371,43.581356
Kepler-302,294.316986,43.629345
Kepler-302,294.316986,43.629345
Kepler-303,283.135468,43.657055
Kepler-303,283.135468,43.657055
Kepler-249,296.985077,43.658524
Kepler-249,296.985077,43.658524
Kepler-249,296.985077,43.658524
Kepler-83,282.232513,43.665627
Kepler-83,282.232513,43.665627
Kepler-83,282.232513,43.665627
Kepler-412,286.110321,43.680958
Kepler-427,288.254578,43.704868
Kepler-162,297.278900,43.724018
Kepler-162,297.278900,43.724018
HD 13931,34.197414,43.772995
HD 95127,164.896194,43.814465
14 Her,242.601303,43.817646
Kepler-381,285.182800,43.831089
Kepler-381,285.182800,43.831089
Kepler-174,287.439209,43.832092
Kepler-174,287.439209,43.832092
Kepler-174,287.439209,43.832092
Kepler-176,294.667969,43.853260
Kepler-176,294.667969,43.853260
Kepler-176,294.667969,43.853260
Kepler-175,289.553284,43.876183
Kepler-175,289.553284,43.876183
Kepler-139,282.391968,43.889351
Kepler-139,282.391968,43.889351
Kepler-185,282.468109,43.889915
Kepler-185,282.468109,43.889915
Kepler-186,298.652710,43.955017
Kepler-186,298.652710,43.955017
Kepler-186,298.652710,43.955017
Kepler-186,298.652710,43.955017
Kepler-186,298.652710,43.955017
HD 99706,172.125885,43.966579
Kepler-128,282.492218,43.980213
Kepler-128,282.492218,43.980213
Kepler-357,291.243103,44.008720
Kepler-357,291.243103,44.008720
Kepler-357,291.243103,44.008720
GJ 15 A,4.595356,44.022953
Kepler-55,285.168335,44.026466
Kepler-55,285.168335,44.026466
Kepler-55,285.168335,44.026466
Kepler-55,285.168335,44.026466
Kepler-55,285.168335,44.026466
Kepler-437,297.347382,44.026947
Kepler-439,280.801575,44.033993
Kepler-5,299.407013,44.035046
HD 132563,224.589661,44.043148
Kepler-327,292.642365,44.087673
Kepler-327,292.642365,44.087673
Kepler-327,292.642365,44.087673
Kepler-187,299.796448,44.089306
Kepler-187,299.796448,44.089306
Kepler-251,296.566223,44.105865
Kepler-251,296.566223,44.105865
Kepler-251,296.566223,44.105865
Kepler-251,296.566223,44.105865
Kepler-91,285.672882,44.116734
Kepler-250,289.594757,44.141953
Kepler-250,289.594757,44.141953
Kepler-250,289.594757,44.141953
Kepler-321,294.453674,44.145756
Kepler-321,294.453674,44.145756
Kepler-266,294.484375,44.166916
Kepler-266,294.484375,44.166916
Kepler-316,290.826019,44.184109
Kepler-316,290.826019,44.184109
Kepler-126,289.347290,44.208553
Kepler-126,289.347290,44.208553
Kepler-126,289.347290,44.208553
HD 40979,91.124763,44.260445
Kepler-452,296.003693,44.277561
Kepler-271,283.002991,44.284233
Kepler-271,283.002991,44.284233
Kepler-322,281.348816,44.295242
Kepler-322,281.348816,44.295242
HD 96127,166.441452,44.301559
Kepler-189,287.564728,44.305004
Kepler-189,287.564728,44.305004
Kepler-188,281.279724,44.315533
Kepler-188,281.279724,44.315533
kap And,355.102112,44.333931
Kepler-106,300.863983,44.337555
Kepler-106,300.863983,44.337555
Kepler-106,300.863983,44.337555
Kepler-106,300.863983,44.337555
Kepler-77,289.607971,44.345425
Kepler-79,300.517120,44.381580
Kepler-79,300.517120,44.381580
Kepler-79,300.517120,44.381580
Kepler-79,300.517120,44.381580
Kepler-95,284.482452,44.398037
Kepler-436,301.720764,44.412064
Kepler-270,282.200104,44.422302
Kepler-270,282.200104,44.422302
Kepler-78,293.741699,44.448330
HD 216536,343.266602,44.477753
Kepler-37,284.059662,44.518131
Kepler-37,284.059662,44.518131
Kepler-37,284.059662,44.518131
Kepler-37,284.059662,44.518131
Kepler-145,291.387756,44.529106
Kepler-145,291.387756,44.529106
Kepler-252,295.579346,44.545963
Kepler-252,295.579346,44.545963
Kepler-388,284.828033,44.608730
Kepler-388,284.828033,44.608730
Kepler-349,293.676483,44.615578
Kepler-349,293.676483,44.615578
Kepler-42,292.219025,44.619160
Kepler-42,292.219025,44.619160
Kepler-42,292.219025,44.619160
Kepler-34,296.435822,44.641560
Kepler-213,290.824188,44.647186
Kepler-213,290.824188,44.647186
Kepler-57,293.641296,44.657040
Kepler-57,293.641296,44.657040
Kepler-111,291.653168,44.688274
Kepler-111,291.653168,44.688274
Kepler-190,288.584045,44.733799
Kepler-190,288.584045,44.733799
Kepler-18,298.079437,44.746323
Kepler-18,298.079437,44.746323
Kepler-18,298.079437,44.746323
Kepler-281,294.108185,44.770699
Kepler-281,294.108185,44.770699
Kepler-360,286.284729,44.781555
Kepler-360,286.284729,44.781555
Kepler-384,286.026123,44.782871
Kepler-384,286.026123,44.782871
Kepler-282,284.677277,44.797684
Kepler-282,284.677277,44.797684
Kepler-282,284.677277,44.797684
Kepler-282,284.677277,44.797684
Kepler-330,288.447388,44.801685
Kepler-330,288.447388,44.801685
Kepler-253,291.841980,44.858089
Kepler-253,291.841980,44.858089
Kepler-253,291.841980,44.858089
Kepler-69,293.260925,44.868896
Kepler-69,293.260925,44.868896
Kepler-389,291.959991,44.900024
Kepler-389,291.959991,44.900024
HAT-P-36,188.266251,44.915352
Kepler-446,282.250214,44.921101
Kepler-446,282.250214,44.921101
Kepler-446,282.250214,44.921101
Kepler-420,291.225189,44.927383
Kepler-214,284.754852,44.956032
Kepler-214,284.754852,44.956032
Kepler-406,291.848053,44.968224
Kepler-406,291.848053,44.968224
Kepler-177,286.047119,45.053207
Kepler-177,286.047119,45.053207
Kepler-421,283.256836,45.087776
Kepler-395,293.511108,45.136597
Kepler-395,293.511108,45.136597
Kepler-410 A,283.150696,45.139832
WASP-58,274.701050,45.172016
Kepler-393,290.995270,45.192215
Kepler-393,290.995270,45.192215
Kepler-215,294.973511,45.213688
Kepler-215,294.973511,45.213688
Kepler-215,294.973511,45.213688
Kepler-215,294.973511,45.213688
Kepler-329,299.268036,45.227428
Kepler-329,299.268036,45.227428
Kepler-115,297.711853,45.261925
Kepler-115,297.711853,45.261925
Kepler-85,290.973419,45.290318
Kepler-85,290.973419,45.290318
Kepler-85,290.973419,45.290318
Kepler-85,290.973419,45.290318
Kepler-191,291.183380,45.323177
Kepler-191,291.183380,45.323177
Kepler-404,286.398621,45.343533
Kepler-404,286.398621,45.343533
Kepler-62,283.212738,45.349865
Kepler-62,283.212738,45.349865
Kepler-62,283.212738,45.349865
Kepler-62,283.212738,45.349865
Kepler-62,283.212738,45.349865
Kepler-295,285.345856,45.367786
Kepler-295,285.345856,45.367786
Kepler-295,285.345856,45.367786
Kepler-368,291.880035,45.387936
Kepler-368,291.880035,45.387936
Kepler-335,296.064301,45.428623
Kepler-335,296.064301,45.428623
HAT-P-40,335.512848,45.457378
Kepler-192,287.917938,45.592876
Kepler-192,287.917938,45.592876
HD 81688,142.166626,45.601482
Kepler-387,287.798187,45.656715
Kepler-387,287.798187,45.656715
Kepler-44,300.102356,45.762142
Kepler-254,288.164703,45.816505
Kepler-254,288.164703,45.816505
Kepler-254,288.164703,45.816505
Kepler-31,294.023010,45.853081
Kepler-31,294.023010,45.853081
Kepler-31,294.023010,45.853081
Kepler-382,299.136169,45.869934
Kepler-382,299.136169,45.869934
Kepler-345,295.228790,45.971020
Kepler-345,295.228790,45.971020
Kepler-255,296.064240,45.976841
Kepler-255,296.064240,45.976841
Kepler-41,294.513214,45.981644
Kepler-326,294.325531,46.002254
Kepler-326,294.325531,46.002254
Kepler-326,294.325531,46.002254
Kepler-33,289.077545,46.005222
Kepler-33,289.077545,46.005222
Kepler-33,289.077545,46.005222
Kepler-33,289.077545,46.005222
Kepler-33,289.077545,46.005222
Kepler-257,297.315979,46.023270
Kepler-257,297.315979,46.023270
Kepler-257,297.315979,46.023270
Kepler-127,285.189972,46.027962
Kepler-127,285.189972,46.027962
Kepler-127,285.189972,46.027962
Kepler-39,296.960266,46.034298
Kepler-352,299.896515,46.051975
Kepler-352,299.896515,46.051975
Kepler-294,287.391998,46.059311
Kepler-294,287.391998,46.059311
Kepler-108,294.559174,46.062325
Kepler-108,294.559174,46.062325
2MASS J19383260+4603591,294.635864,46.066418
Kepler-256,292.580444,46.097389
Kepler-256,292.580444,46.097389
Kepler-256,292.580444,46.097389
Kepler-256,292.580444,46.097389
Kepler-346,288.011902,46.117607
Kepler-346,288.011902,46.117607
Kepler-216,293.728058,46.129154
Kepler-216,293.728058,46.129154
Kepler-67,294.153351,46.166439
Kepler-320,293.213562,46.175125
Kepler-320,293.213562,46.175125
Kepler-218,295.412811,46.266472
Kepler-218,295.412811,46.266472
Kepler-105,287.887329,46.276237
Kepler-105,287.887329,46.276237
Kepler-217,293.037750,46.277508
Kepler-217,293.037750,46.277508
KOI-217,294.865509,46.285854
Kepler-422,282.629669,46.323357
Kepler-344,292.499634,46.324406
Kepler-344,292.499634,46.324406
Kepler-453,283.241302,46.378471
Kepler-423,292.855743,46.391178
Kepler-378,294.948578,46.438641
Kepler-378,294.948578,46.438641
Kepler-445,298.736053,46.498554
Kepler-445,298.736053,46.498554
Kepler-445,298.736053,46.498554
Kepler-26,284.941010,46.566540
Kepler-26,284.941010,46.566540
Kepler-26,284.941010,46.566540
Kepler-26,284.941010,46.566540
Kepler-32,297.842407,46.574280
Kepler-32,297.842407,46.574280
Kepler-32,297.842407,46.574280
Kepler-32,297.842407,46.574280
Kepler-32,297.842407,46.574280
Kepler-193,296.498596,46.577244
Kepler-193,296.498596,46.577244
Kepler-258,294.068481,46.579330
Kepler-258,294.068481,46.579330
Kepler-259,288.211914,46.615005
Kepler-259,288.211914,46.615005
Kepler-59,287.039490,46.640129
Kepler-59,287.039490,46.640129
Kepler-43,285.240845,46.668255
Kepler-66,293.981567,46.687748
HAT-P-32,31.042849,46.687836
Kepler-35,294.496979,46.689762
Kepler-342,292.678070,46.726715
Kepler-342,292.678070,46.726715
Kepler-342,292.678070,46.726715
Kepler-361,296.803467,46.741154
Kepler-361,296.803467,46.741154
Kepler-403,289.921448,46.744560
Kepler-403,289.921448,46.744560
Kepler-219,288.738983,46.762558
Kepler-219,288.738983,46.762558
Kepler-219,288.738983,46.762558
Kepler-140,287.369476,46.768211
Kepler-140,287.369476,46.768211
Kepler-318,298.482819,46.793617
Kepler-318,298.482819,46.793617
Kepler-221,296.654755,46.835270
Kepler-221,296.654755,46.835270
Kepler-221,296.654755,46.835270
Kepler-221,296.654755,46.835270
Kepler-409,293.679199,46.852764
Kepler-148,289.786224,46.858788
Kepler-148,289.786224,46.858788
KOI-13,286.971191,46.868362
Kepler-220,291.506226,46.895779
Kepler-220,291.506226,46.895779
Kepler-220,291.506226,46.895779
Kepler-220,291.506226,46.895779
Kepler-178,287.101074,46.896477
Kepler-178,287.101074,46.896477
Kepler-178,287.101074,46.896477
KOI-7273,295.297913,46.920467
KOI-7273,295.297913,46.920467
Kepler-222,287.906097,46.937767
Kepler-222,287.906097,46.937767
Kepler-222,287.906097,46.937767
Kepler-309,297.509857,46.961281
Kepler-309,297.509857,46.961281
Kepler-87,297.916870,46.965130
Kepler-87,297.916870,46.965130
KIC 10001893,287.389191,46.984489
KIC 10001893,287.389191,46.984489
KIC 10001893,287.389191,46.984489
Kepler-310,288.839355,46.986744
Kepler-310,288.839355,46.986744
Kepler-310,288.839355,46.986744
Kepler-163,295.002808,46.987328
Kepler-163,295.002808,46.987328
HAT-P-44,213.144073,47.014687
HAT-P-44,213.144073,47.014687
HD 154345,255.651688,47.081882
Kepler-311,282.061279,47.085491
Kepler-311,282.061279,47.085491
Kepler-334,287.140656,47.115196
Kepler-334,287.140656,47.115196
Kepler-334,287.140656,47.115196
Kepler-267,299.830383,47.157459
Kepler-267,299.830383,47.157459
Kepler-267,299.830383,47.157459
Kepler-337,290.060486,47.163956
Kepler-337,290.060486,47.163956
Kepler-102,281.482758,47.208031
Kepler-102,281.482758,47.208031
Kepler-102,281.482758,47.208031
Kepler-102,281.482758,47.208031
Kepler-102,281.482758,47.208031
Kepler-223,298.318359,47.279495
Kepler-223,298.318359,47.279495
Kepler-223,298.318359,47.279495
Kepler-223,298.318359,47.279495
Kepler-14,287.708801,47.333050
HAT-P-13,129.882538,47.352051
HAT-P-13,129.882538,47.352051
Kepler-224,290.934296,47.357601
Kepler-224,290.934296,47.357601
Kepler-224,290.934296,47.357601
Kepler-224,290.934296,47.357601
Kepler-364,281.569946,47.398697
Kepler-364,281.569946,47.398697
Kepler-332,286.662964,47.413700
Kepler-332,286.662964,47.413700
Kepler-332,286.662964,47.413700
Kepler-225,292.193970,47.457096
Kepler-225,292.193970,47.457096
Kepler-29,298.348328,47.491226
Kepler-29,298.348328,47.491226
Kepler-94,281.194733,47.497147
Kepler-94,281.194733,47.497147
Kepler-40,296.813690,47.526608
Kepler-362,291.771637,47.529903
Kepler-362,291.771637,47.529903
Kepler-272,299.127533,47.593830
Kepler-272,299.127533,47.593830
Kepler-272,299.127533,47.593830
Kepler-125,298.258118,47.604946
Kepler-125,298.258118,47.604946
Kepler-164,287.780823,47.629913
Kepler-164,287.780823,47.629913
Kepler-164,287.780823,47.629913
Kepler-273,291.302216,47.697758
Kepler-273,291.302216,47.697758
Kepler-284,293.146484,47.729649
Kepler-284,293.146484,47.729649
Kepler-141,297.970886,47.731678
Kepler-141,297.970886,47.731678
Kepler-179,298.663727,47.762043
Kepler-179,298.663727,47.762043
Kepler-165,280.691010,47.809734
Kepler-165,280.691010,47.809734
Kepler-17,298.395264,47.815006
Kepler-283,293.613739,47.838997
Kepler-283,293.613739,47.838997
Kepler-129,285.311279,47.848595
